,Price,House_location,baths,beds,area
0,16000000,other,4,4,2722
1,3800000,other,1,1,598
2,13000000,other,3,3,2913
3,12800000,Askari 14,4,3,2722
4,11500000,Askari 14,4,3,2722
5,14500000,Askari 14,4,3,2722
6,12800000,Askari 14,3,3,2967
7,11700000,Askari 14,3,3,2722
8,12200000,Askari 14,3,3,2722
9,13000000,Askari 14,4,3,2722
10,11500000,Askari 14,3,3,2722
11,13000000,Askari 14,4,3,2967
12,15000000,Askari 14,3,3,2722
13,14800000,Askari 14,3,3,2722
14,14500000,Askari 14,3,3,2722
15,13500000,Askari 14,3,3,2722
16,12500000,Askari 14,3,3,2722
17,11500000,Askari 14,3,3,2722
18,14500000,Askari 14,3,3,2722
19,13500000,Askari 14,3,3,2722
20,11500000,Askari 14,3,3,2722
21,12500000,Askari 14,3,3,2722
22,11700000,Askari 14,3,3,2722
23,14000000,Askari 14,3,3,2722
24,13000000,Askari 14,3,3,2722
25,13500000,Askari 14,3,3,2722
26,12000000,Askari 14,4,3,2722
27,11500000,Askari 14,4,3,2722
28,13700000,Askari 14,4,3,2722
29,15000000,Askari 14,4,3,2722
30,14000000,Askari 14,3,3,3021
31,13500000,Askari 14,4,3,2831
32,13300000,Askari 14,4,3,2831
33,12000000,Askari 14,4,3,2722
34,14500000,Askari 14,3,3,2722
35,13500000,Askari 14,3,3,2722
36,14000000,Askari 14,3,3,3130
37,14000000,Askari 14,3,3,2722
38,12000000,Askari 14,4,3,2722
39,13500000,Askari 14,4,3,2722
40,14500000,Askari 14,3,3,2831
41,13000000,Askari 14,3,3,2722
42,12500000,Askari 14,4,3,2722
43,13500000,Askari 14,4,3,2722
44,14500000,Askari 14,3,3,3212
45,12500000,Askari 14,3,3,2722
46,11700000,Askari 14,3,3,2722
47,14500000,Askari 14,3,3,2722
48,12500000,Askari 14,3,3,2722
49,15000000,Askari 14,3,3,2722
50,11500000,Askari 14,3,3,2722
51,12800000,Askari 14,3,3,2722
52,11600000,Askari 14,3,3,2722
53,15000000,Askari 14,4,3,2722
54,11800000,Askari 14,3,3,2722
55,15000000,Askari 14,3,3,2722
56,11800000,Askari 14,3,3,2722
57,15000000,Askari 14,3,3,2722
58,13500000,Askari 14,3,3,2722
59,14500000,Askari 14,3,3,2722
60,11300000,Askari 14,3,3,2722
61,13500000,Askari 14,3,3,2722
62,11300000,Askari 14,4,3,2722
63,13500000,Askari 14,3,3,3158
64,9800000,other,4,3,2722
65,11000000,other,3,3,2913
66,12000000,other,3,3,2994
67,10500000,other,3,3,2913
68,14000000,other,3,3,3267
69,15500000,other,3,3,3158
70,13000000,other,3,3,2722
71,14500000,other,3,3,2722
72,15000000,other,3,3,2913
73,11500000,other,4,3,2722
74,11000000,other,4,3,2722
75,13000000,other,3,3,2722
76,12500000,other,3,3,2722
77,12000000,other,3,3,2913
78,12000000,other,4,3,3130
79,16000000,Askari 7,3,3,2722
80,14000000,Askari 7,4,3,2722
81,14000000,Askari 7,3,3,2722
82,14000000,Askari 7,3,3,2722
83,12000000,Askari 7,3,3,2722
84,11500000,Askari 7,2,2,2722
85,12500000,Askari 7,3,3,2722
86,11500000,Askari 7,3,3,2722
87,11500000,Askari 7,3,3,2722
88,2997000,B-17,2,2,816
89,2975000,B-17,2,2,816
90,4400000,B-17,2,2,1279
91,3700000,B-17,2,2,1007
92,3750000,B-17,2,2,1034
93,3700000,B-17,2,2,1034
94,5000000,B-17,2,2,1334
95,3300000,B-17,1,1,735
96,7500000,B-17,3,3,1524
97,5200000,B-17,3,2,1143
98,3800000,B-17,2,2,980
99,1900000,B-17,2,2,680
100,3200000,B-17,2,2,789
101,3500000,B-17,2,2,816
102,3500000,B-17,2,2,843
103,5500000,B-17,2,2,1089
104,2500000,B-17,1,1,490
105,4231000,B-17,1,1,789
106,4255000,B-17,2,2,1007
107,5070000,B-17,2,2,1143
108,2640000,B-17,1,1,544
109,4770000,B-17,2,2,1143
