,Price,House_location,baths,beds,total_sqft,kitchens,tv_lounge,store
21,5800000,Adiala Road,4,4,1361,2,2,1
23,6000000,Adiala Road,3,3,1361,2,2,1
27,12000000,Adiala Road,5,5,2722,2,2,1
29,6000000,Adiala Road,5,4,1633,2,2,1
31,6000000,Adiala Road,3,3,1633,2,2,1
41,3800000,Adiala Road,2,2,952,1,1,0
42,2600000,Adiala Road,2,2,680,1,1,0
44,7500000,Adiala Road,5,4,1633,2,2,1
45,6800000,Adiala Road,3,3,1824,2,2,1
46,27500000,Adiala Road,7,8,5445,2,2,1
47,12000000,Adiala Road,5,5,2722,2,2,1
50,6000000,Adiala Road,4,4,1361,2,2,1
54,6500000,Adiala Road,4,4,1361,2,2,1
55,4500000,Adiala Road,2,2,1089,1,2,0
59,7200000,Adiala Road,4,4,1361,2,2,1
63,14500000,Adiala Road,6,6,2722,2,2,1
66,6000000,Adiala Road,6,5,1361,2,2,1
67,12000000,Adiala Road,6,8,2722,2,2,1
73,5000000,Adiala Road,2,4,1089,1,2,0
79,3300000,Adiala Road,2,2,816,1,1,0
81,5000000,Adiala Road,3,2,1089,1,2,0
86,5200000,Adiala Road,3,2,1361,2,2,1
88,12500000,Adiala Road,5,5,2722,2,2,1
89,14000000,Adiala Road,6,6,2994,2,2,1
90,5200000,Adiala Road,2,3,1225,1,2,0
91,4300000,Adiala Road,2,2,1089,1,2,0
96,10500000,Adiala Road,3,4,2722,2,2,1
103,6500000,Adiala Road,4,4,1361,2,2,1
104,5000000,Adiala Road,3,2,1306,1,2,0
106,5900000,Adiala Road,3,3,1361,2,2,1
108,2800000,Adiala Road,2,2,680,1,1,0
109,7000000,Adiala Road,4,4,1905,2,2,1
110,6500000,Adiala Road,4,4,1361,2,2,1
111,6500000,Adiala Road,4,4,1361,2,2,1
114,6800000,Adiala Road,4,4,1361,2,2,1
115,4800000,Adiala Road,2,2,1143,1,2,0
116,5500000,Adiala Road,2,3,1361,2,2,1
121,5500000,Adiala Road,2,2,1361,2,2,1
129,4500000,Adiala Road,2,2,1089,1,2,0
130,5800000,Adiala Road,5,4,1361,2,2,1
132,6800000,Adiala Road,4,4,1361,2,2,1
133,12000000,Adiala Road,5,5,2314,2,2,1
137,5200000,Adiala Road,5,6,1089,1,2,0
140,5200000,Adiala Road,5,6,1089,1,2,0
