,page_url,bedrooms,baths,garage,date,price,location,property,area_marla,area_sqft
0,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606740,5,5,2,April 11 2022,250000,DHA Phase 2 ,House ,20.0,5444.0
1,https://www.graana.com/property/islamabad-bahria-town-phase-4-1300-sqft-apartment-for-rent-606322,2,2,0,April 11 2022,95000,Bahria Town Phase 4 ,Apartment ,4.775005417794609,1299.7564747236925
2,https://www.graana.com/property/islamabad-bahria-town-phase-4-860-sqft-apartment-for-rent-606321,1,1,0,April 11 2022,80000,Bahria Town Phase 4 ,Apartment ,3.1588497379256646,859.8388986633659
3,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606748,5,5,2,April 11 2022,200000,DHA Phase 2 ,House ,20.0,5444.0
4,https://www.graana.com/property/islamabad-g-13-4-1-kanal-lower-portion-for-rent-606463,3,3,2,April 11 2022,100000,G-13/4 ,Lower Portion ,20.0,5444.0
5,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-606612,3,3,1,April 11 2022,250000,DHA Phase 2 ,Upper portion ,20.0,5444.0
6,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606569,5,5,2,April 11 2022,250000,DHA Phase 2 ,House ,20.0,5444.0
7,https://www.graana.com/property/islamabad-g-11-3-1-kanal-lower-portion-for-rent-497624,3,3,1,April 11 2022,120000,G-11/3 ,Lower Portion ,20.0,5444.0
8,https://www.graana.com/property/islamabad-g-11-1-6-marla-lower-portion-for-rent-497614,2,2,0,April 11 2022,55000,G-11/1 ,Lower Portion ,6.0,1633.1999999999998
9,https://www.graana.com/property/islamabad-bahria-enclave-5-marla-house-for-rent-606195,3,4,1,April 11 2022,80000,Bahria Enclave ,House ,5.0,1361.0
10,https://www.graana.com/property/islamabad-dha-phase-2-810-sqft-apartment-for-rent-607045,2,2,0,April 11 2022,130000,DHA Phase 2 ,Apartment ,2.9751956833951025,809.8482650201469
11,https://www.graana.com/property/islamabad-e-11-10-marla-house-for-rent-497057,6,7,2,April 11 2022,140000,E-11 ,House ,10.0,2722.0
12,https://www.graana.com/property/islamabad-g-11-1-6-marla-upper-portion-for-rent-497618,2,2,0,April 11 2022,60000,G-11/1 ,Upper Portion ,6.0,1633.1999999999998
13,https://www.graana.com/property/islamabad-e-11-1400-sqft-apartment-for-rent-497307,2,2,1,April 11 2022,100000,E-11 ,Ft. Apartment ,5.142313526855733,1399.7377420101304
14,https://www.graana.com/property/islamabad-bahria-enclave-sector-e-1-kanal-house-for-rent-497353,5,5,2,April 11 2022,190000,Bahria Enclave Sector E ,House ,20.0,5444.0
15,https://www.graana.com/property/islamabad-g-14-4-9-marla-house-for-rent-497758,4,4,1,April 11 2022,50000,G-14/4 ,House ,9.0,2449.8
