House_title,House_url,beds,baths,total_area,House_location,area_marla,Price,area_sqft
28 Marla Full Furnished House Available For Sale In Dha Phase 2 Islamabad,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_28_marla_full_furnished_house_available_for_sale_in_dha_phase_2_islamabad-33042268-8399-1.html,6,7,1.4 Kanal,DHA Phase 2 - Sector J DHA Defence Phase 2,28,110000000,381.08
Kanal House Available For Sale In Dha Phase 2 Islamabad,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_c_kanal_house_available_for_sale_in_dha_phase_2_islamabad-33279266-3198-1.html,6,7,1 Kanal,DHA Phase 2 - Sector C DHA Defence Phase 2,20,70000000,272.2
One Kanal With Extra Land Corner House Available For Sale In Dha Phase 2,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_b_one_kanal_with_extra_land_corner_house_available_for_sale_in_dha_phase_2-33301658-3197-1.html,9,10,1 Kanal,DHA Phase 2 - Sector B DHA Defence Phase 2,20,110000000,272.2
4500 Square Feet House For Sale In Islamabad,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_sector_a_4500_square_feet_house_for_sale_in_islamabad-33565281-8400-1.html,6,7,1 Kanal,DHA Phase 5 - Sector A DHA Defence Phase 5,20,75000000,272.2
"An auspicious style classic home located in DHA-II, Islamabad.",https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_an_auspicious_style_classic_home_located_in_dha_ii__islamabad_-34724461-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,79000000,272.2
10 Marla Brand new house available for sale DHA Phase 02 Islamabad,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_10_marla_brand_new_house_available_for_sale_dha_phase_02_islamabad-34736429-339-1.html,5,6,10 Marla,DHA Defence Phase 2 DHA Defence,10,46000000,2722
"An auspicious style classic home located in DHA-II, Islamabad.",https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_an_auspicious_style_classic_home_located_in_dha_ii__islamabad_-34738329-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,72000000,272.2
"A quality residence with bright proportions, in Dha-II, Islamabad.",https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_a_quality_residence_with_bright_proportions__in_dha_ii__islamabad_-34735818-339-1.html,6,7,1.3 Kanal,DHA Defence Phase 2 DHA Defence,26,110000000,353.86
SUPERB CLASS HOUSE AVAILABLE FOR SALE,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_superb_class_house_available_for_sale-34756984-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,59000000,272.2
LUSH CONDITION HOUSE AVAILABLE FOR SALE,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_lush_condition_house_available_for_sale-34756987-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,59500000,272.2
GOOD CONDITION HOUSE AVAILABLE FOR SALE,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_good_condition_house_available_for_sale-34756992-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,60000000,272.2
9 Marla Used House Available For Sale In Dha Phase 1 - Sector F,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_f_9_marla_used_house_available_for_sale_in_dha_phase_1_sector_f-34163646-8226-1.html,4,5,9 Marla,DHA Phase 1 - Sector F DHA Defence Phase 1,9,35000000,2449.8
Double Unit Brand New House,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_e_double_unit_brand_new_house-34603352-3200-1.html,6,7,1 Kanal,DHA Phase 2 - Sector E DHA Defence Phase 2,20,75000000,272.2
Corner Basement House With 2 Separate Entrances,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_corner_basement_house_with_2_separate_entrances-33572736-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,65000000,272.2
Stunning Brand New 1 Kanal Luxurious House For Sale,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_stunning_brand_new_1_kanal_luxurious_house_for_sale-33600337-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,70000000,272.2
Designer 1 Kanal Furnished House For Sale,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_sector_a_designer_1_kanal_furnished_house_for_sale-34438581-8400-1.html,5,6,1 Kanal,DHA Phase 5 - Sector A DHA Defence Phase 5,20,79500000,272.2
Luxury 4 Rooms Apartment In Highlife 3 On 3rd Floor Near Giga Mall Dha Phase 2 Islamabad,https://www.zameen.com/Property/dha_phase_2_sector_c_defence_tower_2_luxury_4_rooms_apartment_in_highlife_3_on_3rd_floor_near_giga_mall_dha_phase_2_islamabad-34711842-15140-1.html,3,3,6.6 Marla,Defence Tower 2 DHA Phase 2 - Sector C,6.6,13000000,1796.52
Alnoor Estate And Builders Offers Brand New 1 Kanal Designers House In Very Reasonable Price,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_e_alnoor_estate_and_builders_offers_brand_new_1_kanal_designers_house_in_very_reasonable_price-32774622-3200-1.html,5,6,1 Kanal,DHA Phase 2 - Sector E DHA Defence Phase 2,20,73000000,272.2
1 Kanal House For Sale  Dha Phase 2 Islamabad Sector H,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_h_1_kanal_house_for_sale__dha_phase_2_islamabad_sector_h-34576699-3203-1.html,5,6,1 Kanal,DHA Phase 2 - Sector H DHA Defence Phase 2,20,85000000,272.2
"1 KANAL EXCELLENT ,STYLISH AND BEAUTIFUL BUNGALOW UP FOR SALE",https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_excellent__stylish_and_beautiful_bungalow_up_for_sale-33901421-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,75000000,272.2
