Price,total_area,url,beds,baths,garage,location,date
PKR 2.5 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606740,5,5,2,DHA Phase 2 Islamabad,April 11 2022
PKR 95000,1300 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-1300-sqft-apartment-for-rent-606322,2,2,0,Bahria Town Phase 4 Islamabad,April 11 2022
PKR 80000,860 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-860-sqft-apartment-for-rent-606321,1,1,0,Bahria Town Phase 4 Islamabad,April 11 2022
PKR 2 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606748,5,5,2,DHA Phase 2 Islamabad,April 11 2022
PKR 1 lac,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-1-kanal-lower-portion-for-rent-606463,3,3,2,G-13/4 Islamabad,April 11 2022
PKR 2.5 lac,1 Kanal Upper portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-606612,3,3,1,DHA Phase 2 Islamabad,April 11 2022
PKR 2.5 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606569,5,5,2,DHA Phase 2 Islamabad,April 11 2022
PKR 1.2 lac,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-g-11-3-1-kanal-lower-portion-for-rent-497624,3,3,1,G-11/3 Islamabad,April 11 2022
PKR 55000,6 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-11-1-6-marla-lower-portion-for-rent-497614,2,2,0,G-11/1 Islamabad,April 11 2022
PKR 80000,5 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-5-marla-house-for-rent-606195,3,4,1,Bahria Enclave Islamabad,April 11 2022
PKR 1.3 lac,810 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-dha-phase-2-810-sqft-apartment-for-rent-607045,2,2,0,DHA Phase 2 Islamabad,April 11 2022
PKR 1.4 lac,10 Marla House for Sale,https://www.graana.com/property/islamabad-e-11-10-marla-house-for-rent-497057,6,7,2,E-11 Islamabad,April 11 2022
PKR 60000,6 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-11-1-6-marla-upper-portion-for-rent-497618,2,2,0,G-11/1 Islamabad,April 11 2022
PKR 1 lac,1400 Sq. Ft. Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1400-sqft-apartment-for-rent-497307,2,2,1,E-11 Islamabad,April 11 2022
PKR 1.9 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-sector-e-1-kanal-house-for-rent-497353,5,5,2,Bahria Enclave Sector E Islamabad,April 11 2022
PKR 50000,9 Marla House for Rent,https://www.graana.com/property/islamabad-g-14-4-9-marla-house-for-rent-497758,4,4,1,G-14/4 Islamabad,April 11 2022
PKR 1.1 lac,1300 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1300-sqft-apartment-for-rent-606176,3,3,1,E-11/4 Islamabad,April 11 2022
PKR 65000,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-lower-portion-for-rent-606171,3,3,2,G-13 Islamabad,April 11 2022
PKR 1.3 lac,2150 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-2150-sqft-apartment-for-rent-605710,2,2,1,F-11 Islamabad,April 11 2022
PKR 85000,1250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1250-sqft-apartment-for-rent-605707,1,1,1,F-11 Islamabad,April 11 2022
PKR 55000,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-bani-gala-1-kanal-upper-portion-for-rent-605676,3,3,4,Bani Gala Islamabad,April 11 2022
PKR 75000,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-5-1-kanal-upper-portion-for-rent-606592,3,3,1,DHA Phase 5 Islamabad,April 11 2022
PKR 75000,1750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1750-sqft-apartment-for-rent-605585,2,2,1,F-11 Islamabad,April 8 2022
PKR 2.8 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-g-13-1-kanal-house-for-rent-605008,0,0,0,G-13 Islamabad,April 8 2022
