,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
0,https://www.zameen.com/Property/g_15_g_15_2_g_15_2_ground_portion_is_available_for_rent-981663-3349-4.html,Lower Portion,33000,G-15,Islamabad,"G-15, Islamabad, Islamabad Capital",2,8 Marla,8.0,2178.01,2
1,https://www.zameen.com/Property/islamabad_islamabad_expressway_ground_portion_is_available_for_rent_near_tm_cng_service_road_khanna_pul_expressway_islamabad-2040534-9014-4.html,Lower Portion,17000,Islamabad Expressway,Islamabad,"Islamabad Expressway, Islamabad, Islamabad Capital",2,5 Marla,5.0,1361.25,2
2,https://www.zameen.com/Property/f_6_f_6_1_house_portion_is__for_rent_in_f_6_1-3347676-3299-4.html,Lower Portion,200000,F-6,Islamabad,"F-6, Islamabad, Islamabad Capital",3,16 Marla,16.0,4356.02,3
3,https://www.zameen.com/Property/g_8_g_8_2_fully_furnished_ground_portion_for_rent_in_g_8_2-3577153-3377-4.html,Lower Portion,60000,G-8,Islamabad,"G-8, Islamabad, Islamabad Capital",2,9.3 Marla,9.3,2531.93,2
4,https://www.zameen.com/Property/islamabad_f_10_beautiful_lower_portion_for_rent_in_f_10-3978659-162-4.html,Lower Portion,85000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",0,1 Kanal,20.0,5445.02,3
5,https://www.zameen.com/Property/islamabad_f_11_f_11_500_square_yard_3_bedrooms_marble_flooring__beautiful_ground_portion_for_rent-4336415-163-4.html,Lower Portion,110000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,1.3 Kanal,26.0,7078.53,3
6,https://www.zameen.com/Property/islamabad_f_11_f_11_666_square_yard_3_bedroom_marble_flooring_beautiful_ground_portion_for_rent-4366201-163-4.html,Lower Portion,100000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,1.3 Kanal,26.0,7078.53,3
7,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_e_ha_estate_give_you_kanal_ground_portion_for_rent_in_dha_phase_2-5194902-3200-4.html,Lower Portion,60000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,1 Kanal,20.0,5445.02,3
8,https://www.zameen.com/Property/islamabad_f_11_f11_600_sq_yard_brand_new_tile_flooring__lower_ground_for_rent-6347070-163-4.html,Lower Portion,110000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,1.2 Kanal,24.0,6534.02,3
9,https://www.zameen.com/Property/f_11_f_11_2_beautiful_and_prime_location_1_kanal_elegant_3_bed_ground_portion_available_for_rent-6429771-3283-4.html,Lower Portion,110000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,1 Kanal,20.0,5445.02,3
10,https://www.zameen.com/Property/i_8_i_8_4_i_8_4_newly_renovated_ground_portion_3_bed_4_bath_water_boring_without_owner_65000-7702134-3444-4.html,Lower Portion,65000,I-8,Islamabad,"I-8, Islamabad, Islamabad Capital",4,12.4 Marla,12.4,3375.91,3
11,https://www.zameen.com/Property/islamabad_f_11_f_11_size_30x70_2_bedrooms_marble_flooring_ground_portion_for_rent-7828890-163-4.html,Lower Portion,45000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",2,9.3 Marla,9.3,2531.93,2
12,https://www.zameen.com/Property/islamabad_f_10_f_10_666_syd_3_bedrooms_marble_flooring_beautiful_brand_new_ground_portion-8068093-162-4.html,Lower Portion,120000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",4,1.3 Kanal,26.0,7078.53,3
13,https://www.zameen.com/Property/islamabad_e_11_portion_for_rent_e_11-8241495-329-4.html,Lower Portion,45000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,6 Marla,6.0,1633.51,2
14,https://www.zameen.com/Property/islamabad_e_11_ground_portion_available_for_rent_in_e_11-8243781-329-4.html,Lower Portion,38000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,6 Marla,6.0,1633.51,2
15,https://www.zameen.com/Property/soan_garden_soan_garden_block_c_ground_portion_is_available_for_rent_in_c_block_soan_garden-8256913-3493-4.html,Lower Portion,21000,Soan Garden,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",3,7 Marla,7.0,1905.76,3
