,Price,House_location,baths,beds,total_sqft,portion,garage
0,12000,Bhara kahu,2,2,1361,1,0
3,40000,Bahria Town,3,3,2722,1,1
11,62000,other,5,5,3811,1,2
20,30000,Ghauri Town,3,3,2722,1,1
23,65000,G-11,4,4,3267,1,2
24,60000,G-11,4,4,3267,1,2
25,43000,G-9,2,3,1633,1,1
26,32000,G-15,4,3,3267,1,2
27,30000,Bani Gala,3,3,3267,1,2
28,45000,G-15,4,3,3267,1,2
29,23000,G-15,2,3,1905,1,1
31,28000,National Police Foundation O-9,3,2,2722,1,1
32,50000,G-13,3,3,3539,1,2
33,50000,G-13,3,3,3539,1,2
34,12000,other,2,2,680,1,0
35,30000,FECHS,3,3,3267,1,2
36,48000,E-11,3,3,2722,1,1
37,48000,E-11,3,3,2722,1,1
38,48000,E-11,3,3,2722,1,1
39,48000,E-11,3,3,2722,1,1
41,65000,I-8,3,3,3865,1,2
48,25000,D-17,4,4,2178,1,1
49,25000,D-17,4,4,2178,1,1
50,40000,G-11,2,3,2041,1,1
53,60000,E-11,2,2,2722,1,1
59,15000,Soan Garden,1,2,1197,1,0
60,15000,Soan Garden,1,2,1197,1,0
61,15000,Soan Garden,1,2,1197,1,0
62,15000,Soan Garden,1,2,1197,1,0
66,29000,FECHS,3,3,3865,1,2
67,60000,E-11,4,3,3811,1,2
69,27000,Green Avenue,2,2,1905,1,1
70,30000,CBR Town,3,3,3267,1,2
74,25000,Soan Garden,5,3,2178,1,1
79,48000,Bahria Town,2,2,2722,1,1
82,22000,Soan Garden,4,3,2722,1,1
85,10000,Ghauri Town,2,1,544,1,0
96,20000,Bhara kahu,3,3,2722,1,1
101,20000,H-13,2,2,1361,1,0
103,55000,G-9,3,3,3267,1,2
106,25000,FECHS,5,4,2722,1,1
107,18000,FECHS,2,2,1905,1,1
108,37000,G-11,2,2,2178,1,1
113,24000,CBR Town,3,2,2178,1,1
114,15000,E-11,1,1,598,1,0
121,26000,G-15,3,3,2178,1,1
124,48000,G-14,4,3,3865,1,2
125,25000,B-17,3,3,2722,1,1
128,25000,DHA Defence,4,3,2722,1,1
130,24000,I-10,1,2,1633,1,1
145,30000,Naval Anchorage,3,3,3811,1,2
146,20000,Naval Anchorage,3,2,2722,1,1
161,27000,FECHS,4,3,3267,1,2
162,42000,G-13,5,5,2722,1,1
164,27000,FECHS,4,3,3267,1,2
165,18000,FECHS,3,2,1905,1,1
166,27000,FECHS,3,3,3267,1,2
181,28000,Naval Anchorage,3,3,3811,1,2
182,8000,Bani Gala,1,1,1089,1,0
184,18000,FECHS,2,2,1905,1,1
186,20000,Naval Anchorage,3,3,3267,1,2
187,28000,FECHS,4,3,3267,1,2
194,23000,G-13,2,2,1089,1,0
197,33000,G-11,2,2,1633,1,1
204,18000,H-13,2,3,1361,1,0
205,25000,other,2,2,1633,1,1
206,25000,other,2,2,1633,1,1
207,25000,other,2,2,1633,1,1
208,25000,other,2,2,1633,1,1
209,25000,other,2,2,1633,1,1
216,10500,Ghauri Town,1,1,1361,1,0
219,28000,I-10,2,2,1633,1,1
223,55000,G-10,4,4,3267,1,2
224,33000,I-10,2,2,1633,1,1
226,32000,I-10,2,2,1361,1,0
227,27000,G-14,4,4,2178,1,1
231,55000,Bahria Town,5,5,2722,1,1
233,60000,G-9,4,4,2722,1,1
238,60000,G-10,3,3,3811,1,2
245,18000,Ghauri Town,2,2,1361,1,0
246,60000,G-11,3,3,3865,1,2
249,19000,National Police Foundation O-9,3,2,2722,1,1
253,20000,Korang Town,2,2,1905,1,1
254,20000,Korang Town,2,2,1905,1,1
259,18000,Soan Garden,2,2,1633,1,1
262,55000,I-8,3,3,3267,1,2
263,25000,I-9,2,2,1361,1,0
273,70000,I-8,4,4,3267,1,2
278,32000,G-9,2,2,2994,1,2
279,25000,G-10,2,2,1633,1,1
283,40000,G-11,3,3,2178,1,1
285,18000,FECHS,3,2,1905,1,1
286,32000,G-13,2,2,2722,1,1
287,22000,I-10,1,2,1633,1,1
289,31000,G-11,2,2,2178,1,1
292,25000,Bani Gala,3,2,2722,1,1
293,35000,I-9,3,2,2450,1,1
294,25000,I-9,1,2,2450,1,1
297,15000,Ghauri Town,2,2,1361,1,0
298,40000,G-13,3,3,3865,1,2
299,48000,G-13,5,4,2722,1,1
300,25000,Ghauri Town,3,4,2722,1,1
301,60000,I-8,3,3,3267,1,2
302,60000,I-8,3,3,3811,1,2
304,25000,CBR Town,3,2,1905,1,1
308,20000,other,2,2,1361,1,0
309,35000,Naval Anchorage,3,3,3267,1,2
310,35000,other,2,3,2531,1,1
311,32000,B-17,4,4,2722,1,1
312,32000,other,4,3,3321,1,2
314,45000,D-12,3,3,2722,1,1
316,55000,G-13,3,3,3811,1,2
320,18000,FECHS,3,2,1905,1,1
321,24000,FECHS,4,3,2722,1,1
327,25000,I-10,1,2,1633,1,1
328,38000,E-11,2,2,1633,1,1
329,20000,Bhara kahu,2,2,1905,1,1
330,36000,E-11,2,2,1633,1,1
332,65000,other,2,3,2722,1,1
334,28000,PWD Housing Scheme,4,3,3267,1,2
335,37000,G-11,3,2,2178,1,1
341,18000,other,3,3,1905,1,1
342,65000,G-6,2,3,2722,1,1
343,40000,E-11,2,2,1905,1,1
344,32000,CBR Town,3,3,3811,1,2
347,28000,G-9,1,2,2722,1,1
349,14000,H-13,1,1,1361,1,0
350,17000,National Police Foundation O-9,2,2,1361,1,0
354,70000,G-9,3,3,3811,1,2
355,20000,FECHS,3,3,1905,1,1
359,60000,I-8,3,3,3267,1,2
360,65000,I-8,3,3,3811,1,2
362,25000,I-10,1,2,1361,1,0
365,28000,Pakistan Town,4,3,2722,1,1
371,30000,G-9,2,2,2994,1,2
373,25000,Soan Garden,3,2,3267,1,2
375,35000,G-10,2,2,1361,1,0
376,40000,B-17,3,3,3811,1,2
378,43000,E-11,2,2,1905,1,1
379,42000,other,3,3,3620,1,2
380,53000,G-9,2,3,3811,1,2
381,55000,G-9,2,3,3811,1,2
382,55000,G-6,2,3,2722,1,1
384,26000,FECHS,3,3,2722,1,1
387,50000,I-8,3,3,3267,1,2
388,50000,I-8,3,4,3267,1,2
389,32000,Pakistan Town,4,4,3267,1,2
390,100000,F-11,4,3,816,1,0
391,50000,E-11,3,3,1905,1,1
394,65000,I-8,3,3,3267,1,2
396,25000,G-13,3,2,1197,1,0
400,28000,Korang Town,4,4,3267,1,2
401,16000,FECHS,3,2,1905,1,1
