,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
0,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606740,5,5,2,DHA Phase 2 Islamabad,April 11 2022,250000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
1,1300 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-1300-sqft-apartment-for-rent-606322,2,2,0,Bahria Town Phase 4 Islamabad,April 11 2022,95000,Bahria Town Phase 4 ,1300 Sqft Apartment , Rent,1300,Sqft Apartment ,Sqft,Apartment 
2,860 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-860-sqft-apartment-for-rent-606321,1,1,0,Bahria Town Phase 4 Islamabad,April 11 2022,80000,Bahria Town Phase 4 ,860 Sqft Apartment , Rent,860,Sqft Apartment ,Sqft,Apartment 
3,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606748,5,5,2,DHA Phase 2 Islamabad,April 11 2022,200000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
4,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-1-kanal-lower-portion-for-rent-606463,3,3,2,G-13/4 Islamabad,April 11 2022,100000,G-13/4 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
5,1 Kanal Upper portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-606612,3,3,1,DHA Phase 2 Islamabad,April 11 2022,250000,DHA Phase 2 ,1 Kanal Upper portion , Rent,1,Kanal Upper portion ,Kanal,Upper portion 
6,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-606569,5,5,2,DHA Phase 2 Islamabad,April 11 2022,250000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
7,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-g-11-3-1-kanal-lower-portion-for-rent-497624,3,3,1,G-11/3 Islamabad,April 11 2022,120000,G-11/3 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
8,6 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-11-1-6-marla-lower-portion-for-rent-497614,2,2,0,G-11/1 Islamabad,April 11 2022,55000,G-11/1 ,6 Marla Lower Portion , Rent,6,Marla Lower Portion ,Marla,Lower Portion 
9,5 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-5-marla-house-for-rent-606195,3,4,1,Bahria Enclave Islamabad,April 11 2022,80000,Bahria Enclave ,5 Marla House , Rent,5,Marla House ,Marla,House 
